"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Cart and Product Operations","0","Quantity Simulation","0","0","","0"
"0","User Profile Management","0","Partial Profile Update","1","0","","0"
"0","User Profile Management","0","Profile Persistence","1","0","","0"
"0","Category Management","0","Category Existence","1","0","","0"
"1","Cart and Product Operations","0","Cart Total Calculation","0","0","","0"
"0","Purchase Flow","1","Product Details Consistency","0","0","","0"
"0","User Authentication","0","Login Modal Interaction","1","0","","0"
"1","Purchase Flow","0","Multiple Products Purchase","0","0","","0"
"0","User Profile Management","0","Session Persistence","1","0","","0"
"0","User Authentication","0","Valid Login","1","0","","0"
"0","Category Management","1","Category Uniqueness","0","0","","0"
"0","User Authentication","0","Invalid Login","1","0","","0"
"0","Category Management","0","Minimum Product Requirement","1","0","","0"
"0","Cart and Product Operations","1","Checkout Validation","0","0","","0"
"0","Category Management","0","Category Product Display","1","0","","0"
"0","User Authentication","0","Empty Credentials Login","1","0","","0"
"1","Cart and Product Operations","0","Cart Operations","0","0","","0"
"1","Cart and Product Operations","0","Edge Case Handling","0","0","","0"
"1","User Profile Management","0","Profile Data Validation","0","0","","0"
"0","User Profile Management","0","Profile Lifecycle","1","0","","0"
"0","Purchase Flow","1","Complete Purchase","0","0","","0"
"0","Category Management","1","Category Navigation","0","0","","0"
"1","Purchase Flow","0","Mixed Category Purchase","0","0","","0"
